"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Year","Thailand","Ø EU","Ø USA","Ø World"
"2021","1.23 %","2.55 %","4.70 %","3.50 %"
"2020","-0.85 %","0.50 %","1.23 %","1.92 %"
"2019","0.71 %","1.63 %","1.81 %","2.19 %"
"2018","1.06 %","1.74 %","2.44 %","2.44 %"
"2017","0.67 %","1.43 %","2.13 %","2.19 %"
"2016","0.19 %","0.18 %","1.26 %","1.55 %"
"2015","-0.90 %","-0.06 %","0.12 %","1.43 %"
"2014","1.90 %","0.20 %","1.62 %","2.35 %"
"2013","2.18 %","1.22 %","1.46 %","2.62 %"
"2012","3.01 %","2.66 %","2.07 %","3.73 %"
"2011","3.81 %","3.29 %","3.16 %","4.82 %"
"2010","3.25 %","1.53 %","1.64 %","3.35 %"
"2009","-0.85 %","0.84 %","-0.36 %","2.94 %"
"2008","5.47 %","4.16 %","3.84 %","8.95 %"
"2007","2.24 %","2.51 %","2.85 %","4.82 %"
"2006","4.64 %","2.67 %","3.23 %","4.28 %"
"2005","4.54 %","2.49 %","3.39 %","4.11 %"
"2004","2.76 %","2.29 %","2.68 %","3.38 %"
"2003","1.80 %","2.09 %","2.27 %","3.03 %"
"2002","0.70 %","2.42 %","1.59 %","2.83 %"
"2001","1.63 %","3.37 %","2.83 %","3.84 %"
"2000","1.59 %","3.15 %","3.38 %","3.49 %"
"1999","0.28 %","2.16 %","2.19 %","3.08 %"
"1998","7.99 %","2.42 %","1.55 %","5.11 %"
"1997","5.63 %","3.11 %","2.34 %","5.57 %"
"1996","5.81 %","3.56 %","2.93 %","6.55 %"
"1995","5.82 %","4.43 %","2.81 %","9.15 %"
"1994","5.05 %","4.72 %","2.61 %","10.32 %"
"1993","3.31 %","4.85 %","2.95 %","7.51 %"
"1992","4.14 %","6.22 %","3.03 %","7.71 %"
"1991","5.71 %","5.48 %","4.23 %","9.00 %"
"1990","5.86 %","6.15 %","5.40 %","8.13 %"
"1989","5.36 %","6.26 %","4.83 %","7.00 %"
"1988","3.86 %","4.54 %","4.08 %","7.15 %"
"1987","2.47 %","4.02 %","3.66 %","5.76 %"
"1986","1.84 %","3.68 %","1.90 %","5.82 %"
"1985","2.43 %","5.40 %","3.55 %","6.86 %"
"1984","0.86 %","7.67 %","4.30 %","8.12 %"
"1983","3.73 %","8.67 %","3.21 %","8.77 %"
"1982","5.26 %","9.58 %","6.13 %","10.24 %"
"1981","12.66 %","11.77 %","10.33 %","12.47 %"
"1980","19.70 %","12.91 %","13.55 %","13.98 %"
"1979","9.90 %","8.22 %","11.25 %","n/a"
"1978","7.92 %","7.76 %","7.63 %","n/a"
"1977","7.60 %","9.77 %","6.50 %","n/a"
"1976","4.15 %","9.35 %","5.74 %","n/a"
"1975","5.33 %","10.47 %","9.14 %","n/a"
"1974","24.31 %","13.16 %","11.05 %","n/a"
"1973","15.51 %","7.75 %","6.18 %","n/a"
"1972","4.84 %","6.01 %","3.27 %","n/a"
"1971","0.48 %","5.24 %","4.29 %","n/a"
"1970","-0.09 %","4.51 %","5.84 %","n/a"
"1969","2.45 %","2.67 %","5.46 %","n/a"
"1968","1.79 %","3.24 %","4.27 %","n/a"
"1967","4.31 %","3.32 %","2.77 %","n/a"
"1966","4.04 %","3.70 %","3.02 %","n/a"
"1965","0.17 %","3.99 %","1.59 %","n/a"
"1964","-0.79 %","3.42 %","1.28 %","n/a"
"1963","0.00 %","2.92 %","1.24 %","n/a"
"1962","3.70 %","3.55 %","1.20 %","n/a"
"1961","7.39 %","2.08 %","1.07 %","n/a"
"1960","-0.77 %","1.74 %","1.46 %","n/a"